id,ra,dec,mag,con
19810,4.258905,8.892357,4.27,Tau
21536,4.635961,12.510838,4.27,Tau
21828,4.704084,22.956926,4.27,Tau
94999,19.386976,-44.799778,4.27,Sgr
20659,4.438461,22.813583,4.28,Tau
105175,21.370776,-16.834542,4.28,Cap
16811,3.614551,0.401662,4.29,Tau
108793,22.107286,-13.869679,4.29,Aqr
17489,3.75347,24.467278,4.3,Tau
20597,4.424828,17.92791,4.3,Tau
53262,10.92689,24.749718,4.3,Leo
56478,11.615814,-0.823749,4.3,Leo
99706,20.29413,-12.508212,4.3,Cap
78750,16.123424,-20.868764,4.31,Sco
25880,5.536875,18.594234,4.32,Tau
46617,9.528675,22.967971,4.32,Leo
14802,3.193822,19.726677,4.35,Ari
18990,4.078253,22.081926,4.36,Tau
98101,19.995605,-35.276305,4.37,Sgr
64034,13.165831,-5.53901,4.38,Vir
115304,23.434108,-20.642014,4.38,Aqr
49496,10.131742,9.997508,4.39,Leo
73392,15.048344,2.091303,4.39,Vir
34601,7.185659,30.245163,4.41,Gem
114670,23.298393,-9.182513,4.41,Aqr
53798,11.038827,20.179842,4.42,Leo
98375,20.044299,-27.709845,4.43,Sgr
102293,20.795621,-5.027701,4.43,Aqr
54921,11.277695,-3.651601,4.45,Leo
15510,3.338989,29.048458,4.47,Ari
46014,9.410906,26.182324,4.47,Leo
72938,14.953055,-4.346462,4.47,Lib
20661,4.439094,15.618265,4.48,Tau
113757,23.111345,-23.743115,4.48,Aqr
32164,6.733137,13.228017,4.49,Gem
103899,21.118797,-25.005853,4.49,Cap
116605,23.712039,-14.544905,4.49,Aqr
27461,5.830451,-56.166663,4.5,Pic
57392,11.799762,20.218931,4.5,Leo
104122,21.159902,-11.371693,4.5,Aqr
105698,21.478721,-21.80718,4.5,Cap
106381,21.618008,-19.466011,4.51,Cap
13028,2.79848,29.247118,4.52,Ari
69751,14.318498,-13.371095,4.52,Vir
94881,19.362117,-15.955018,4.52,Sgr
86803,17.792674,-27.830788,4.53,Sgr
74164,15.203692,-19.79171,4.54,Lib
97851,19.94912,-27.169899,4.54,Sgr
79837,16.343939,-24.16932,4.55,Sco
88562,18.134716,-28.457093,4.55,Sgr
27761,5.88879,27.612262,4.56,Tau
54789,11.253397,23.095502,4.56,Leo
79164,16.205057,-27.926372,4.58,Sco
77604,15.893533,-25.327142,4.59,Sco
96162,19.611786,-24.883623,4.59,Sgr
75987,15.569638,-10.064529,4.61,Lib
23442,5.051596,21.589962,4.62,Tau
54024,11.083619,7.336007,4.62,Leo
13880,2.986868,21.340429,4.63,Ari
77399,15.849652,-25.751295,4.63,Sco
12686,2.724198,27.707146,4.65,Ari
21220,4.564143,14.844424,4.65,Tau
58415,12.014553,6.614322,4.65,Vir
42687,8.721431,21.468501,4.66,Cnc
61547,12.654102,-7.995564,4.66,Vir
88293,18.083674,-29.580087,4.66,Sgr
89400,18.300886,-27.042641,4.66,Sgr
21630,4.654583,15.917977,4.67,Tau
40054,8.203535,17.647771,4.67,Cnc
48889,10.003557,8.044223,4.68,Leo
65798,13.532746,-6.255816,4.68,Vir
106444,21.629197,-7.854201,4.68,Aqr
111857,22.726454,-18.830375,4.68,Aqr
20680,4.443437,14.713782,4.69,Tau
82419,16.899924,-42.362025,4.7,Sco
97755,19.930651,-26.299506,4.7,Sgr
115881,23.554618,-20.914504,4.7,Aqr
114013,23.165249,-22.457611,4.71,Aqr
29203,6.171642,-54.968645,4.72,Pic
106845,21.710973,-18.866323,4.72,Cap
33115,6.910732,13.177827,4.73,Gem
53751,11.030465,-2.484585,4.73,Leo
102714,20.877565,-8.983318,4.73,Aqr
64720,13.306763,-18.311196,4.74,Vir
87844,17.996543,-23.816133,4.74,Sgr
108528,22.055234,-2.155363,4.74,Aqr
76644,15.699111,-19.678828,4.75,Lib
65433,13.457546,-15.973578,4.76,Vir
55959,11.505248,-3.003501,4.77,Leo
62785,12.905879,-9.538994,4.77,Vir
98448,20.059291,-37.940699,4.77,Sgr
99985,20.344393,-12.75908,4.77,Cap
100701,20.481004,-17.813687,4.77,Cap
20977,4.509342,16.194014,4.78,Tau
50422,10.328938,19.470914,4.78,Leo
64647,13.293412,5.469869,4.78,Vir
87024,17.83642,-40.090435,4.78,Sco
9135,1.965478,23.596061,4.79,Ari
80570,16.503466,-25.115224,4.79,Sco
86950,17.819577,-31.703203,4.79,Sco
20490,4.401599,17.44413,4.8,Tau
79639,16.304973,-28.61402,4.8,Sco
110326,22.421284,1.377401,4.8,Aqr
28165,5.966571,25.953912,4.81,Tau
70532,14.470038,-2.227957,4.81,Vir
90010,18.422511,-20.541679,4.81,Sgr
103684,21.073417,-19.854991,4.82,Cap
110776,22.510782,-10.67795,4.82,Aqr
116535,23.696057,-17.816533,4.82,Aqr
83317,17.080376,-34.12293,4.83,Sco
19690,4.232329,9.263824,4.84,Tau
26711,5.688255,16.534148,4.84,Tau
53651,11.009347,3.617494,4.84,Leo
57156,11.754733,8.258119,4.84,Vir
98042,19.982555,-26.195767,4.84,Sgr
119058,16.072774,-11.374611,4.84,Sco
87574,17.946507,-44.342246,4.85,Sco
91632,18.738711,-35.641987,4.86,Sgr
92471,18.902827,-22.744834,4.86,Sgr
94348,19.259007,-25.256682,4.86,Sgr
15072,3.24836,21.044441,4.87,Ari
96981,19.772707,-19.761113,4.87,Sgr
25475,5.460579,21.936965,4.88,Tau
27399,5.816935,24.567535,4.88,Tau
61767,12.698071,10.235625,4.88,Vir
87664,17.963279,-41.716295,4.88,Sco
94525,19.293911,-18.952908,4.88,Sgr
27442,5.825814,12.651324,4.89,Tau
